person_index,teacher_llama31_8b,student_qwen_from_qwen,student_qwen_from_llama,student_qwen_from_both
0,-2.6700000000000017,-1.6299999999999955,-5.509999999999991,-2.6700000000000017
1,2.780000000000001,1.539999999999992,0.0,2.780000000000001
2,1.3400000000000034,6.709999999999994,4.030000000000001,-1.3400000000000034
3,-1.0799999999999983,3.4000000000000057,-3.0900000000000034,4.290000000000006
4,1.4100000000000108,-1.4199999999999875,1.4100000000000108,1.4100000000000108
5,4.700000000000003,10.740000000000009,6.710000000000008,4.700000000000003
6,0.20000000000000284,0.20000000000000284,-3.3499999999999943,-0.6699999999999875
7,2.3999999999999915,0.9299999999999926,0.269999999999996,-1.1500000000000057
8,-2.6899999999999977,-2.6899999999999977,2.010000000000005,0.0
9,1.3400000000000034,0.0,0.0,0.0
10,4.75,0.9099999999999966,-1.3599999999999994,0.7599999999999909
11,3.6700000000000017,2.960000000000008,3.469999999999999,3.469999999999999
12,7.3799999999999955,2.009999999999991,4.019999999999996,4.019999999999996
13,-2.010000000000005,-1.3400000000000034,-2.010000000000005,-3.3499999999999943
14,3.3500000000000085,7.38000000000001,0.0,0.0
15,1.3700000000000045,3.5500000000000114,2.5500000000000114,2.5500000000000114
16,0.0,2.680000000000007,-4.700000000000003,-4.700000000000003
17,-8.060000000000002,-6.709999999999994,-7.390000000000001,-4.030000000000001
18,-1.3400000000000034,-0.6700000000000017,-1.3400000000000034,-1.3400000000000034
19,-2.6899999999999977,0.6700000000000017,-2.6899999999999977,-2.6899999999999977
20,0.1600000000000108,0.0,2.990000000000009,0.1600000000000108
21,-1.3700000000000045,-3.4299999999999926,-1.3700000000000045,0.0
22,2.3100000000000023,1.3599999999999994,0.28999999999999204,0.28999999999999204
23,4.690000000000012,2.010000000000005,3.3500000000000085,1.3400000000000034
24,0.0,6.040000000000006,2.680000000000007,2.680000000000007
25,-2.690000000000012,1.3399999999999892,-2.690000000000012,-1.3400000000000034
26,0.5200000000000102,-2.219999999999999,3.940000000000012,3.940000000000012
27,0.18000000000000682,-2.049999999999997,-2.049999999999997,-0.6199999999999903
28,3.3499999999999943,8.049999999999997,1.3400000000000034,8.049999999999997
29,-2.0799999999999983,-1.8599999999999994,0.0,-2.0799999999999983
30,-1.6400000000000006,-1.6400000000000006,-1.6400000000000006,-1.6400000000000006
31,2.6799999999999926,-3.3599999999999994,1.3399999999999892,2.6799999999999926
32,1.3700000000000045,6.8500000000000085,1.3700000000000045,4.030000000000001
33,-8.060000000000002,-1.3400000000000034,-4.030000000000001,-4.030000000000001
